date,user,tweet,keyword
2025-11-28 13:27:19+00:00,1219rchive,BANGSAT BRONDONG LAGI?????,bangsat
2025-11-28 13:26:23+00:00,DkKenta,@NenkMonica Negara bajingan bangsat pembunuh rakyat,bangsat
2025-11-28 13:26:19+00:00,peppertipexx,"Daerah lu lagi kena bencana lu malah belaga tolol gini, asli pikiran ternak mulyono bangsat ini gimana sih? https://t.co/mgyw02pI34",bangsat
2025-11-28 13:25:01+00:00,Syrl_Zrlly23,Semakin rajin ibadah gue soalnya gak mau masuk neraka sama rezim rezim bangsat itu,bangsat
2025-11-28 13:24:35+00:00,Alfa_Rohadi,"@NenkMonica Relawan Jokowi alias termul, Bangsat bangsa yg mereka pikir melindungi Jokowi saja.",bangsat
2025-11-28 13:23:56+00:00,berlinajabsgksi,menurut gue ya alkp stop adain acara gapenting buat kls 12 anjing cape bgt bangsat w mau belajar utbk aja ajgajgajg,bangsat
2025-11-28 13:23:52+00:00,badboiss69,"sampe harus publik akun sementara gegara prop firm qt kek bangsat after bank holiday, live chatnya pun ilang di web wkwk.",bangsat
2025-11-28 13:23:46+00:00,vampireblah,bangsat masa harus cat ulang dinding kamar https://t.co/KSFOb31L6T,bangsat
2025-11-28 13:22:47+00:00,iwantok961,"@bedigasan85 @lyraxis_io Sama kawan, punyaku juga nambah lg durasi nya bangsat bener dah",bangsat
2025-11-28 13:22:10+00:00,olcversykes,asu ak ditipu seller udh bayar sebulan buat netflix malah sandinya diganti trus gw konfirmasi gada kejelasan kocakkk bangsat #zonauang,bangsat
