Tweet,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,num_labels
kamu itu yang bencong bacot kamu lebih dari cewek kayak banci tidak dikasih duit bacotnya xf x f x x xf x f x x xf x f x x mending kamu cakap adalah jelek kayak begitu masa depan suram lagi xf x f x x xf x f x x mentioned gue langsung di kutipan twit xf,1,0,0,0,1,1,3
kayak ya banci kali,1,0,0,0,0,1,2
Menteri jadi soeharto kan homo,1,0,0,0,0,1,2
tinggalkan bicara tentang partai komunis indonesia mari kita fokus ke ganti presiden jadikan sebagai the next presiden,1,0,0,0,0,0,1
tingkah wakil gubernur lakunya dalam berpakaian kayak anak kecil saja padahal seorang pejabat pemerintahan stres kali nih orang,1,0,0,0,1,0,2
kenapa harus impor wakil gubernur dari jabar tapi tidak punya prestasi bagus khofifah emil jawa timur satu,0,0,0,0,0,0,0
ganyang partai komunis indonesia pengkhianatan partai indonesia tahun uniform resource locator,0,1,0,1,0,0,2
coba kalian perhatikan dipersidangan teroris ada enggak alquran an menjadi bb enggak pernah ada selama ini dasar apes sontoloyo,1,0,0,0,0,0,1
saya selalu mengikuti diskusi tentang islam nusantara ini menarik sekali tapi saya belum berani komen prof dan saya terkesan dengan komen pak budi sepang ini saya penganut kristen jawa xf x f x x a shalom,0,0,0,0,0,0,0
haha antek komunis kelojotan menjelang september kecebong adalah partai anak indonesia komunis,0,1,0,1,0,0,2
klik,0,0,0,0,0,0,0
pak lukman mau menjelaskan indonesia baru islam tanpa masih perlu bicara pindah on dulu terlebih,0,1,1,0,0,0,2
haha jadi ada yang malu mengakui kinerja presiden ya,0,0,0,0,0,0,0
penciuman pak jokowi memang tajam kalau soal pencarian uang ups salah perutangan uang salut dengan uniform resource locator,1,0,0,0,0,0,1
enaknya sama hyper sudah crot lanjut ngentot lagi xf x f x xa uniform resource locator,0,0,0,0,0,0,0
hmmm kalau menurut aku tidak dukung sih itu sama saja tetap membiarkan mereka ditindas bukan karena bagaimana ya walaupun km tidak setuju kayak yang aku bilang kamu sorta let it happen kalau km tidak support mereka kamu bakal bisu dalam isu lgbt iya no,0,0,0,0,0,0,0
semoga kamu di allah karena merusak islam dalam,1,0,1,0,0,0,2
i hasil emak emak kalian jual pukinya bagi keaslian yang berpihak kepada komunis indonesia dan sih anak cina anjing kafir ini serta negara kesatuan republik indonesia bukan didapat,0,1,1,1,0,0,3
jangan jadikan bodoh babi sial itu sebagai zikir harian kita semoga kurangkan dan jauhkan amin xe x xba xef xb x f,0,0,0,0,0,0,0
kalau pangkal tentang radikal ini islam konyol sontoloyo penjual dan pengibul agama kawanan guntur romlah maka radikalnya lalu antara terorisme dan radikalisme inipun pengertiannya selalu dikawinkan terorisme satu dengan radi,0,1,1,0,0,0,2
sih rosa ini kok mukanya tugu peringatan enggak kenapa batu nissan yang gentle enggak dong apa juga kaum cebong,1,0,0,0,1,0,2
gerombolan kadal jidat gosong memang begitu sukanya ribut tapi kalau gerombolannya salah pura dasar gerombolan cingkrang uniform resource locator,0,1,0,0,1,0,2
rizieq shihab status tersangka kasus konten pornografi diduga mendukung sandi,1,0,0,0,0,1,2
timnas cacat dia apa prestasi yang telah km menorehkan buat indonesia selama menjadi ketua mundur o orang jabatan,0,1,0,0,1,0,2
dosa fitnah umpama membunuh tak taulah sedar ke tidak yang cina buku xc xb islam fitnah lantaklah itu dia nih yang konon nih islam apa cerita,0,1,1,1,0,0,3
cacat,1,0,0,0,1,0,2
kamu pekerja seks komersial tidak usah mencampur kerudungmu lepas ketahuan baru kamu pekerja seks komersial kamu baca twit nya fahri yang begitu benci jokowi itu yang saya balas jokowi itu presiden tidak pantas dimaki oleh seorang fahri twit fahri penuh,1,0,0,0,0,1,2
antek juga toh,0,1,0,1,0,0,2
sesampainya di sana duduk dua duaan makan roti buaya dengar lagu kita kita menari bersama,0,0,0,0,0,0,0
rohingya teroris buddha membunuh anakku aku kehilangan istri amp ibu,0,1,1,0,0,0,2
